Time [s],LRCK_out,DATA_out
0.006476580,1,0
0.006476720,1,1
0.006477540,1,0
0.006477860,1,1
0.006478040,1,0
0.006478520,1,1
0.006478840,1,0
0.006479000,1,1
0.006479180,0,1
0.006480640,0,0
0.006480800,0,1
0.006481780,1,0
0.006481940,1,1
0.006483240,1,0
0.006483400,1,1
0.006484380,0,0
0.006485360,0,1
0.006485680,0,0
0.006485840,0,1
0.006486000,0,0
0.006486160,0,1
0.006486340,0,0
0.006486980,1,1
0.006487140,1,0
0.006487960,1,1
0.006488280,1,0
0.006488440,1,1
0.006488620,1,0
0.006488780,1,1
0.006488940,1,0
0.006489600,0,0
0.006490720,0,1
0.006491700,0,0
0.006492200,1,0
0.006493340,1,1
0.006494320,1,0
0.006494800,0,0
0.006494960,0,1
0.006495780,0,0
0.006495940,0,1
0.006496260,0,0
0.006496420,0,1
0.006496760,0,0
0.006496920,0,1
0.006497080,0,0
0.006497240,0,1
0.006497400,1,1
0.006498380,1,0
0.006498540,1,1
0.006498860,1,0
0.006499020,1,1
0.006499360,1,0
0.006499520,1,1
0.006499680,1,0
0.006499840,1,1
0.006500000,1,0
0.006500020,0,0
0.006500160,0,1
0.006500980,0,0
0.006501300,0,1
0.006501640,0,0
0.006501800,0,1
0.006502120,0,0
0.006502600,0,1
0.006502620,1,1
0.006503580,1,0
0.006503900,1,1
0.006504240,1,0
0.006504400,1,1
0.006504720,1,0
0.006505220,0,0
0.006506520,0,1
0.006506680,0,0
0.006506840,0,1
0.006507000,0,0
0.006507160,0,1
0.006507340,0,0
0.006507820,1,0
0.006509120,1,1
0.006509280,1,0
0.006509440,1,1
0.006509600,1,0
0.006509760,1,1
0.006509940,1,0
0.006510420,0,1
0.006510580,0,0
0.006511400,0,1
0.006511720,0,0
0.006511880,0,1
0.006513040,1,1
0.006513200,1,0
0.006514000,1,1
0.006514320,1,0
0.006514480,1,1
0.006515640,0,1
0.006515800,0,0
0.006516760,0,1
0.006516940,0,0
0.006517260,0,1
0.006517420,0,0
0.006517740,0,1
0.006518240,1,0
0.006519380,1,1
0.006519540,1,0
0.006519860,1,1
0.006520020,1,0
0.006520340,1,1
0.006520840,0,0
0.006521000,0,1
0.006521820,0,0
0.006521980,0,1
0.006522140,0,0
0.006522620,0,1
0.006522960,0,0
0.006523280,0,1
0.006523440,1,1
0.006524420,1,0
0.006524580,1,1
0.006524740,1,0
0.006525240,1,1
0.006525560,1,0
0.006525880,1,1
0.006526060,0,1
0.006527020,0,0
0.006527180,0,1
0.006527360,0,0
0.006527520,0,1
0.006527680,0,0
0.006527840,0,1
0.006528160,0,0
0.006528640,0,1
0.006528660,1,1
0.006529620,1,0
0.006529780,1,1
0.006529960,1,0
0.006530120,1,1
0.006530280,1,0
0.006530440,1,1
0.006530760,1,0
0.006531260,0,0
0.006532400,0,1
0.006532720,0,0
0.006533360,0,1
0.006533860,1,1
0.006534020,1,0
0.006535000,1,1
0.006535320,1,0
0.006535980,1,1
0.006536460,1,0
0.006536480,0,0
0.006537440,0,1
0.006537760,0,0
0.006537920,0,1
0.006538420,0,0
0.006538740,0,1
0.006538900,0,0
0.006539080,1,0
0.006540040,1,1
0.006540380,1,0
0.006540540,1,1
0.006541020,1,0
0.006541340,1,1
0.006541520,1,0
0.006541680,0,0
0.006543140,0,1
0.006543300,0,0
0.006544120,0,1
0.006544280,1,0
0.006545740,1,1
0.006545900,1,0
0.006546720,1,1
0.006546880,0,0
0.006547040,0,1
0.006547860,0,0
0.006548180,0,1
0.006548340,0,0
0.006548500,0,1
0.006548840,0,0
0.006549480,1,0
0.006549640,1,1
0.006550460,1,0
0.006550780,1,1
0.006550960,1,0
0.006551120,1,1
0.006551440,1,0
0.006552100,0,0
0.006552240,0,1
0.006553220,0,0
0.006554040,0,1
0.006554200,0,0
0.006554700,1,0
0.006554860,1,1
0.006555840,1,0
0.006556640,1,1
0.006556820,1,0
0.006557300,0,1
0.006557460,0,0
0.006558280,0,1
0.006558440,0,0
0.006558760,0,1
0.006558920,0,0
0.006559240,0,1
0.006559420,0,0
0.006559580,0,1
0.006559900,1,0
0.006560880,1,1
0.006561040,1,0
0.006561360,1,1
0.006561540,1,0
0.006561860,1,1
0.006562020,1,0
0.006562180,1,1
0.006562500,1,0
0.006562520,0,0
0.006563480,0,1
0.006563800,0,0
0.006564140,0,1
0.006564300,0,0
0.006564460,0,1
0.006564620,0,0
0.006565120,1,0
0.006566080,1,1
0.006566420,1,0
0.006566740,1,1
0.006566900,1,0
0.006567220,1,1
0.006567720,0,1
0.006569020,0,0
0.006569180,0,1
0.006569340,0,0
0.006569500,0,1
0.006569660,0,0
0.006569820,0,1
0.006570320,1,1
0.006571620,1,0
0.006571780,1,1
0.006571940,1,0
0.006572100,1,1
0.006572440,1,0
0.006572920,0,0
0.006573080,0,1
0.006573900,0,0
0.006574220,0,1
0.006574380,0,0
0.006575360,0,1
0.006575520,0,0
0.006575540,1,0
0.006575680,1,1
0.006576500,1,0
0.006576820,1,1
0.006577000,1,0
0.006577960,1,1
0.006578140,0,0
0.006578300,0,1
0.006579280,0,0
0.006579440,0,1
0.006579760,0,0
0.006579920,0,1
0.006580240,0,0
0.006580580,0,1
0.006580740,1,0
0.006580900,1,1
0.006581880,1,0
0.006582040,1,1
0.006582360,1,0
0.006582520,1,1
0.006582860,1,0
0.006583180,1,1
0.006583340,0,0
0.006584320,0,1
0.006584480,0,0
0.006584640,0,1
0.006585140,0,0
0.006585460,0,1
0.006585940,1,0
0.006586920,1,1
0.006587080,1,0
0.006587240,1,1
0.006587740,1,0
0.006588060,1,1
0.006588380,1,0
0.006588540,1,1
0.006588560,0,1
0.006588720,0,0
0.006589520,0,1
0.006589680,0,0
0.006589840,0,1
