Time [s],LRCK_out,DATA_out,DATA_in
0.017704990,0,0,0
0.017706410,0,0,1
0.017706860,1,0,1
0.017707120,1,0,0
0.017709700,0,0,0
0.017709870,0,1,0
0.017709950,0,1,1
0.017711020,0,1,0
0.017711370,0,1,1
0.017711730,0,1,0
0.017712080,0,1,1
0.017712530,1,1,1
0.017712710,1,0,1
0.017713140,1,0,0
0.017713850,1,0,1
0.017714560,1,0,0
0.017715260,1,0,1
0.017715370,0,0,1
0.017715620,0,0,0
0.017716330,0,0,1
0.017717390,0,0,0
0.017717740,0,0,1
0.017718100,0,0,0
0.017718200,1,0,0
0.017721040,0,0,0
0.017721290,0,0,1
0.017722350,0,0,0
0.017722700,0,0,1
0.017723060,0,0,0
0.017723410,0,0,1
0.017723870,1,0,1
0.017724480,1,0,0
0.017725180,1,0,1
0.017725900,1,0,0
0.017726600,1,0,1
0.017726710,0,0,1
0.017726960,0,0,0
0.017727660,0,0,1
0.017728730,0,0,0
0.017729080,0,0,1
0.017729530,0,1,1
0.017729540,1,1,1
0.017729720,1,0,1
0.017729800,1,0,0
0.017732370,1,1,0
0.017732380,0,1,0
0.017732550,0,0,0
0.017732630,0,0,1
0.017733340,0,0,0
0.017733690,0,0,1
0.017734400,0,0,0
0.017734750,0,0,1
0.017735110,0,0,0
0.017735210,1,0,0
0.017735810,1,0,1
0.017736170,1,0,0
0.017736880,1,0,1
0.017737240,1,0,0
0.017738050,0,0,0
0.017738290,0,0,1
0.017738650,0,0,0
0.017739710,0,0,1
0.017740070,0,0,0
0.017740770,0,0,1
0.017740870,0,1,1
0.017740880,1,1,1
0.017741050,1,0,1
0.017741130,1,0,0
0.017743720,0,0,0
0.017743960,0,0,1
0.017744680,0,0,0
0.017745030,0,0,1
0.017745740,0,0,0
0.017746090,0,0,1
0.017746450,0,0,0
0.017746550,1,0,0
0.017747150,1,0,1
0.017747510,1,0,0
0.017748210,1,0,1
0.017748570,1,0,0
0.017749380,0,0,0
0.017749630,0,0,1
0.017749990,0,0,0
0.017751050,0,0,1
0.017751410,0,0,0
0.017752110,0,0,1
0.017752220,1,0,1
0.017752470,1,0,0
0.017755050,0,0,0
0.017755300,0,0,1
0.017756010,0,0,0
0.017756720,0,0,1
0.017757080,0,0,0
0.017757780,0,0,1
0.017757880,0,1,1
0.017757890,1,1,1
0.017758060,1,0,1
0.017758490,1,0,0
0.017758840,1,0,1
0.017759910,1,0,0
0.017760260,1,0,1
0.017760720,0,0,1
0.017761330,0,0,0
0.017762740,0,0,1
0.017763100,0,0,0
0.017763550,1,0,0
0.017763730,1,1,0
0.017766390,0,1,0
0.017766560,0,0,0
0.017766640,0,0,1
0.017767350,0,0,0
0.017768060,0,0,1
0.017768410,0,0,0
0.017769120,0,0,1
0.017769220,1,0,1
0.017769830,1,0,0
0.017770180,1,0,1
0.017771250,1,0,0
0.017771600,1,0,1
0.017772060,0,0,1
0.017772670,0,0,0
0.017774430,0,0,1
0.017774890,1,0,1
0.017775150,1,0,0
0.017777730,0,0,0
0.017777980,0,0,1
0.017778340,0,0,0
0.017778690,0,0,1
0.017779750,0,0,0
0.017780100,0,0,1
0.017780460,0,0,0
0.017780560,1,0,0
0.017781170,1,0,1
0.017781520,1,0,0
0.017782230,1,0,1
0.017782590,1,0,0
0.017783400,0,0,0
0.017785420,0,0,1
0.017786130,0,0,0
0.017786230,1,0,0
0.017789060,1,1,0
0.017789070,0,1,0
0.017789240,0,0,0
0.017789310,0,0,1
0.017789670,0,0,0
0.017790020,0,0,1
0.017791090,0,0,0
0.017791440,0,0,1
0.017791800,0,0,0
0.017791900,1,0,0
0.017792500,1,0,1
0.017792860,1,0,0
0.017793570,1,0,1
0.017793920,1,0,0
0.017794740,0,0,0
0.017796750,0,0,1
0.017797110,0,0,0
0.017797460,0,0,1
0.017797570,1,0,1
0.017797740,1,1,1
0.017797820,1,1,0
0.017800400,0,1,0
0.017800650,0,1,1
0.017801010,0,1,0
0.017801360,0,1,1
0.017801720,0,1,0
0.017802070,0,1,1
0.017802780,0,1,0
0.017803240,1,1,0
0.017803410,1,0,0
0.017804200,1,0,1
0.017805970,1,0,0
0.017806070,0,0,0
0.017807030,0,0,1
0.017808100,0,0,0
0.017808910,1,0,0
0.017811740,0,0,0
0.017811990,0,0,1
0.017812350,0,0,0
0.017812700,0,0,1
0.017813060,0,0,0
0.017813410,0,0,1
0.017814120,0,0,0
0.017814570,1,0,0
0.017814750,1,1,0
0.017815530,1,1,1
0.017817310,1,1,0
0.017817410,0,1,0
0.017817580,0,0,0
0.017818370,0,0,1
0.017819430,0,0,0
0.017820240,1,0,0
0.017823080,0,0,0
0.017823330,0,0,1
0.017823690,0,0,0
0.017824390,0,0,1
0.017825910,1,0,1
